subj;trial;response;RT 
recognition 
mikkel_G3;[2, 7, 3, 5, 6];None;2011
mikkel_G3;[2, 8, 6, 3, 5];None;2005
mikkel_G3;[2, 5, 9, 7, 6];None;2011
mikkel_G3;[2, 4, 5, 6, 1];None;2011
mikkel_G3;[2, 5, 9, 7, 1];1;1811
mikkel_G3;[2, 6, 3, 1, 8];None;2011
mikkel_G3;[2, 5, 9, 7, 1];None;2012
mikkel_G3;[2, 5, 9, 7, 1];None;2011
mikkel_G3;[2, 5, 9, 4, 7];None;2014
mikkel_G3;[2, 5, 9, 4, 1];None;2011
mikkel_G3;[2, 5, 9, 7, 1];None;2011
mikkel_G3;[2, 5, 9, 1, 8];None;2013
mikkel_G3;[2, 5, 9, 0, 1];None;2010
mikkel_G3;[2, 5, 9, 7, 1];1;1911
mikkel_G3;[2, 5, 9, 7, 1];1;1945
mikkel_G3;[2, 5, 9, 3, 7];2;1927
mikkel_G3;[2, 5, 9, 7, 1];None;2008
mikkel_G3;[2, 3, 1, 7, 6];None;2010
mikkel_G3;[2, 5, 1, 8, 3];None;2011
mikkel_G3;[2, 5, 9, 3, 6];None;2012
mikkel_G3;[2, 5, 9, 1, 3];None;2011
mikkel_G3;[2, 5, 9, 7, 1];1;1927
mikkel_G3;[2, 5, 9, 7, 1];None;2008
mikkel_G3;[2, 5, 9, 0, 3];None;2010
mikkel_G3;[2, 5, 9, 3, 8];2;1995
mikkel_G3;[2, 9, 7, 1, 3];None;2012
mikkel_G3;[2, 5, 9, 8, 4];None;2010
mikkel_G3;[2, 1, 9, 6, 7];None;2011
mikkel_G3;[2, 1, 3, 5, 8];None;2015
mikkel_G3;[2, 6, 8, 5, 4];None;2009
mikkel_G3;[2, 5, 9, 7, 1];None;2012
mikkel_G3;[2, 5, 9, 8, 6];None;2011
mikkel_G3;[2, 5, 4, 7, 9];None;2012
mikkel_G3;[2, 5, 9, 6, 3];None;2012
mikkel_G3;[2, 5, 9, 7, 1];None;2012
mikkel_G3;[2, 5, 9, 7, 4];None;2011
mikkel_G3;[2, 5, 9, 7, 1];1;1978
mikkel_G3;[2, 5, 9, 7, 1];1;1995
mikkel_G3;[2, 5, 9, 4, 7];2;1997
mikkel_G3;[2, 1, 4, 5, 9];None;2011
mikkel_G3;[2, 4, 6, 7, 3];None;2010
mikkel_G3;[2, 9, 3, 6, 7];None;2011
mikkel_G3;[2, 8, 1, 7, 3];2;1997
mikkel_G3;[2, 5, 9, 7, 1];1;1893
mikkel_G3;[2, 5, 6, 7, 3];None;2011
mikkel_G3;[2, 5, 9, 6, 1];2;1778
mikkel_G3;[2, 5, 9, 7, 1];1;1775
mikkel_G3;[2, 5, 9, 7, 1];1;1966
mikkel_G3;[2, 5, 9, 7, 1];1;1828
mikkel_G3;[2, 5, 9, 7, 3];None;2013
mikkel_G3;[2, 6, 5, 8, 4];2;1980
mikkel_G3;[2, 5, 9, 7, 1];1;1801
mikkel_G3;[2, 1, 7, 3, 5];None;2013
mikkel_G3;[2, 5, 9, 4, 6];2;1770
mikkel_G3;[2, 3, 5, 8, 4];None;2003
mikkel_G3;[2, 5, 9, 7, 1];1;1772
mikkel_G3;[2, 5, 9, 1, 4];None;2000
mikkel_G3;[2, 5, 9, 4, 8];2;1896
mikkel_G3;[2, 5, 9, 7, 1];1;1863
mikkel_G3;[2, 5, 9, 7, 1];1;1772
mikkel_G3;[2, 5, 9, 3, 4];2;1902
mikkel_G3;[2, 5, 9, 8, 1];2;1801
mikkel_G3;[2, 3, 7, 5, 9];None;2001
mikkel_G3;[2, 5, 9, 1, 6];2;1910
mikkel_G3;[2, 5, 9, 4, 3];2;1810
mikkel_G3;[2, 5, 9, 6, 7];2;1977
mikkel_G3;[2, 5, 9, 7, 1];None;2010
mikkel_G3;[2, 6, 1, 9, 5];None;2010
mikkel_G3;[2, 9, 8, 5, 1];None;2010
mikkel_G3;[2, 4, 7, 8, 5];None;2010
mikkel_G3;[2, 5, 9, 6, 4];2;1801
mikkel_G3;[2, 8, 4, 9, 7];None;2000
mikkel_G3;[2, 7, 6, 9, 3];None;2009
mikkel_G3;[2, 5, 9, 1, 7];None;2009
mikkel_G3;[2, 5, 9, 7, 1];1;1804
mikkel_G3;[2, 8, 5, 1, 4];None;2015
mikkel_G3;[2, 3, 4, 8, 6];None;2010
mikkel_G3;[2, 5, 9, 7, 1];1;1893
mikkel_G3;[2, 7, 5, 6, 1];None;2009
mikkel_G3;[2, 5, 9, 7, 1];1;1843
mikkel_G3;[2, 5, 9, 3, 1];2;1962
mikkel_G3;[2, 5, 9, 7, 1];1;1878
mikkel_G3;[2, 5, 9, 7, 1];1;1801
mikkel_G3;[2, 5, 9, 7, 1];None;2015
mikkel_G3;[2, 5, 9, 7, 1];1;1827
mikkel_G3;[2, 5, 9, 8, 3];None;2011
mikkel_G3;[2, 4, 8, 9, 6];None;2010
mikkel_G3;[2, 5, 9, 7, 1];1;2010
mikkel_G3;[2, 7, 8, 1, 9];None;2009
mikkel_G3;[2, 5, 9, 7, 1];None;2008
